house_id,area_sqft,bedrooms,bathrooms,stories,garage_spaces,age_years,distance_to_center_km,neighborhood,has_pool,has_garden,school_rating,crime_index,renovated,price
1,2730,6,5,3,1,49,8.9,Green Valley,0,1,2,6.1,0,379500
2,1544,4,4,3,3,34,4.7,Downtown,0,0,6,6.2,0,314000
3,1818,4,4,2,0,8,0.5,Old Town,0,0,7,6.9,0,263400
4,2024,4,3,1,2,33,20.4,Hillcrest,0,1,8,3.0,1,318100
5,1366,3,2,1,2,59,6.4,Hillcrest,0,0,2,2.4,0,191700
6,1801,2,1,2,3,29,38.0,Old Town,0,0,4,5.3,1,171200
7,1800,2,2,2,2,41,2.4,Green Valley,0,1,8,2.4,0,305900
8,835,3,3,3,1,29,13.2,Riverside,0,1,1,5.6,0,168300
9,2360,1,1,1,1,30,4.0,Green Valley,0,1,2,1.8,0,295600
10,2130,4,4,2,3,10,5.8,Old Town,0,1,9,3.3,0,298900
11,1456,2,2,1,1,44,4.8,Downtown,0,1,4,4.1,0,199300
12,1706,5,4,2,2,11,2.5,Downtown,0,1,5,5.9,0,349000
13,2078,2,1,3,2,41,2.9,Downtown,0,0,7,1.8,0,309000
14,1656,3,3,2,3,25,26.4,Downtown,0,0,4,7.4,1,277700
15,1666,5,4,2,1,28,16.1,Lakeside,0,0,10,9.2,0,292100
16,1001,4,4,3,1,10,25.8,Hillcrest,0,1,9,9.5,0,169800
17,2105,3,3,1,1,37,2.0,Hillcrest,0,1,5,4.8,0,283700
18,1868,4,4,2,1,6,1.1,Lakeside,0,0,4,6.9,1,379300
19,1951,3,2,1,0,3,12.2,Lakeside,0,0,8,5.7,1,334000
20,960,2,1,1,2,3,1.8,Old Town,1,0,4,5.0,0,171300
21,2708,6,6,2,2,24,3.8,Hillcrest,0,0,9,9.9,0,397600
22,1885,5,5,2,1,29,12.9,Hillcrest,0,1,7,5.6,0,319700
23,1587,4,4,1,2,49,7.9,Downtown,0,1,7,9.8,0,276800
24,2916,3,2,2,0,34,14.7,Old Town,0,1,6,1.9,0,297300
25,1775,3,3,2,1,36,3.2,Downtown,1,0,2,7.9,0,318500
26,1002,2,1,2,1,33,3.4,Lakeside,0,0,9,6.8,1,239400
27,1577,1,1,1,0,16,16.3,Green Valley,1,0,9,4.2,0,250200
28,541,5,3,2,2,57,5.9,Old Town,0,1,8,9.5,1,109500
29,2377,3,3,3,2,26,3.7,Old Town,0,1,9,1.7,1,319900
30,1571,2,2,2,1,38,4.7,Lakeside,0,1,5,4.5,0,293400
31,1392,4,3,1,1,53,10.0,Downtown,0,0,3,3.8,0,172500
32,2390,3,3,1,2,24,9.1,Green Valley,1,0,4,7.8,1,363300
33,892,4,4,3,2,48,1.7,Riverside,0,0,6,6.9,1,198500
34,2094,2,2,1,0,52,28.5,Old Town,1,1,2,9.3,0,153300
35,665,3,2,3,1,11,15.6,Green Valley,0,0,4,2.3,1,176700
36,1436,3,2,1,0,14,4.5,Lakeside,0,1,8,1.4,1,307600
37,1138,3,2,1,1,17,0.7,Riverside,0,1,3,6.0,1,247200
38,2604,2,2,3,2,37,17.4,Riverside,1,1,2,9.1,1,303300
39,2771,5,3,2,1,47,4.7,Hillcrest,0,1,2,1.0,0,349100
40,1619,4,2,2,3,10,8.1,Old Town,0,1,5,4.9,0,220100
41,2262,3,2,3,0,53,1.5,Downtown,0,0,5,1.1,0,299000
42,1701,3,3,1,3,27,1.4,Old Town,0,1,3,2.3,1,210300
43,2112,4,4,1,0,55,3.0,Riverside,0,0,5,4.5,0,291600
44,1386,3,2,1,2,28,11.0,Downtown,0,1,2,1.5,0,213800
45,860,1,1,1,2,33,13.5,Downtown,0,1,5,4.7,0,139000
46,808,4,4,1,2,40,4.5,Green Valley,0,1,9,3.3,0,190600
47,2011,4,3,1,0,34,9.8,Old Town,1,0,8,9.4,0,217000
